LastName,FirstName,Address1,Address2,City,State,Zip,Zip4,Email,HomePhone,MobilePhone,ProductName,DatePurchased,PaidAmount
Shanahan,Everette,7507 Senger Ranch,,New Kelsieburgh,FL,06048,,Everette_Shanahan96@gmail.com,,8647443305,Refined Granite Fish,2022-12-15,377.15
Upton,Hortense,14973 Daugherty River,Apt. 997,East Hildaberg,CT,63502,,Hortense.Upton77@hotmail.com,1927572161,9725788841,Licensed Cotton Soap,2023-04-03,461.44
Herzog,Kiarra,05709 Sonia Causeway,,Meaghanmouth,NV,94724,2682,Kiarra84@yahoo.com,5505142004,7685636356,Fantastic Frozen Soap,2022-12-23,168.78
Schaden,Ressie,7322 Liliane Parkway,Suite 745,Port Monique,RI,19321,,Ressie5@gmail.com,9584513842,0167153768,Incredible Rubber Keyboard,2024-05-12,359.73
Friesen,Jaylin,55889 Paxton Walk,,Carrollburgh,CO,52086,,Jaylin74@gmail.com,6336691374,5859861800,Fantastic Concrete Pants,2023-10-27,423.32
Cartwright,Keagan,4841 Goodwin Locks,,East Floy,AZ,06856,6741,Keagan_Cartwright93@yahoo.com,3901010566,8536721132,Practical Frozen Shirt,2022-07-28,403.47
Brakus,Ashlynn,973 Brekke Canyon,Apt. 506,Margarettaside,ME,61507,0374,Ashlynn.Brakus81@hotmail.com,0508236520,2430079845,Handcrafted Plastic Chicken,2022-08-02,200.41
McGlynn,Virginie,34592 Alize Course,Apt. 000,South Isadoreside,OK,04801,,Virginie96@gmail.com,7270222877,4061180381,Fantastic Soft Keyboard,2022-10-09,24.85
Stracke,Angeline,48923 Rath Lake,,Lake Jacklyn,WV,96709,4227,Angeline84@gmail.com,0507849018,8345821584,Generic Cotton Chair,2023-12-08,358.16
Dibbert,Olen,79554 Jaskolski Islands,,Jacobsonstad,ME,01510,3117,Olen.Dibbert44@yahoo.com,8849125345,1142641782,Awesome Frozen Fish,2022-10-07,144.38
Weissnat,Jess,054 Sanford Green,,East Evelinehaven,NY,06430,2861,Jess.Weissnat@hotmail.com,8996813856,7349707176,Licensed Plastic Keyboard,2023-05-19,372.42
Nicolas,Vicente,0986 Grimes Roads,,South Gavin,WV,17457,6587,Vicente_Nicolas@hotmail.com,7189562607,1480307726,Ergonomic Frozen Chair,2022-08-31,142.82
Nitzsche,Amara,85435 Maeve Lake,,Margotborough,OR,24391,0750,Amara.Nitzsche@gmail.com,,0469236393,Intelligent Wooden Shirt,2022-06-23,427.12
Smith,Danny,94679 Schmitt Plain,,Schoenside,HI,29787,,Danny_Smith@yahoo.com,1825543281,6507926493,Handcrafted Fresh Bike,2024-05-07,334.98
Labadie,Cayla,3167 Schmeler Land,,Rogahnbury,WY,95413,,Cayla.Labadie@gmail.com,6016050490,4413731049,Generic Wooden Ball,2023-01-26,148.10
Cronin,Damian,4763 Harvey Hollow,Apt. 767,Koeppstad,RI,16040,2884,Damian_Cronin85@gmail.com,4406503499,7855443754,Handcrafted Frozen Bacon,2024-04-11,456.32
Windler,Vivienne,4059 Paul Summit,,New Edison,FL,51284,,Vivienne.Windler73@gmail.com,2456307191,8768915014,Intelligent Plastic Hat,2022-05-21,490.36
Yundt,Johanna,9845 Maya Estate,Suite 340,West Domenicachester,ND,92959,,Johanna_Yundt@hotmail.com,,3332542580,Sleek Wooden Bacon,2022-07-14,142.80
Dach,Kathryn,7401 Fatima Gardens,,Smithamborough,GA,64228,,Kathryn_Dach92@hotmail.com,,1619938884,Handcrafted Metal Cheese,2022-08-18,16.84
Frami,Dillon,262 Torp Roads,,North Adrain,MI,66730,8332,Dillon.Frami19@gmail.com,9290815798,7643453520,Fantastic Soft Fish,2022-12-11,107.45
Gulgowski,Lourdes,25138 Breanna Groves,Suite 217,Framiburgh,MD,86918,4114,Lourdes_Gulgowski55@hotmail.com,,3864921384,Refined Rubber Bacon,2022-06-17,441.65
Corwin,Dexter,047 Reilly Falls,,Lake Antonetta,ID,53238,2865,Dexter81@hotmail.com,,2785494838,Refined Metal Tuna,2022-12-28,138.65
Marvin,Treva,67107 Pfannerstill Forge,,Cheyenneside,GA,24096,0113,Treva15@hotmail.com,0284807456,2571541860,Sleek Steel Tuna,2023-07-18,183.10
Casper,Odell,33383 Wiegand Ramp,,Ephraimside,MS,38982,5241,Odell.Casper@yahoo.com,0183394163,3942991105,Awesome Concrete Tuna,2022-12-16,420.87
Brown,Maximilian,5322 June Extension,Suite 769,Weldonmouth,AZ,65035,6731,Maximilian_Brown@yahoo.com,0775756071,5744006703,Rustic Cotton Computer,2024-01-08,444.41
Blick,Delfina,2258 Rosenbaum Mount,,Anyashire,AR,86943,3577,Delfina.Blick@gmail.com,2305203234,6899645345,Incredible Plastic Mouse,2023-01-02,221.79
Corwin,Dane,089 Johnathan Landing,,Port Clementina,AZ,85330,,Dane87@gmail.com,2829770533,6185375237,Fantastic Metal Sausages,2023-12-19,23.50
Gibson,Rhianna,74475 Cruickshank Junctions,,Gerlachshire,MI,73993,1300,Rhianna.Gibson69@hotmail.com,0824669921,9323669594,Awesome Granite Computer,2023-02-21,401.69
Daniel,Dorthy,27472 Antonio Gardens,Suite 161,Lake Athenahaven,ND,26062,2613,Dorthy_Daniel@hotmail.com,2556941391,9446408242,Unbranded Metal Fish,2023-03-03,426.71
Howe,Jarod,7039 Williamson Burgs,,East Karina,CO,45935,,Jarod_Howe56@yahoo.com,5343113890,6228958295,Licensed Cotton Fish,2022-08-31,107.13
Wyman,Clementina,9537 Nikolaus Canyon,,Aufderharshire,RI,67939,3329,Clementina.Wyman46@gmail.com,,6441634035,Intelligent Plastic Hat,2023-04-28,54.85
Huels,Ulices,4515 Meredith Locks,,Annaberg,UT,02254,8201,Ulices61@gmail.com,1665371755,3490351247,Gorgeous Cotton Fish,2023-10-03,462.34
Stehr,Deborah,57204 Terry Inlet,,East Saige,HI,97087,,Deborah_Stehr@yahoo.com,6103687719,9219533170,Handcrafted Wooden Gloves,2023-01-31,86.02
Gerlach,Ross,08763 Mervin Club,,Warrenborough,TX,56394,5382,Ross78@gmail.com,8454832750,1994542976,Ergonomic Cotton Table,2022-12-01,468.41
Raynor,Dariana,08380 Metz Underpass,Suite 009,McClurebury,HI,49687,3206,Dariana.Raynor@gmail.com,,8175978610,Unbranded Wooden Pants,2024-02-20,431.58
Gibson,Irving,299 Blick Green,,East Roxanechester,VA,64637,,Irving.Gibson@gmail.com,6096095707,4605374833,Rustic Steel Ball,2023-12-10,39.82
Auer,Fletcher,35359 Hammes Cliff,,South Vincenzaville,HI,88845,,Fletcher11@hotmail.com,4219374153,9229934286,Sleek Metal Mouse,2023-10-14,97.14
Rodriguez,Hector,44230 Abshire Extension,,Gwendolynville,KS,27749,,Hector.Rodriguez@hotmail.com,0742305203,1003269538,Handmade Cotton Pizza,2023-10-11,308.40
Gutmann,Trevor,443 Reanna Falls,,South Elmira,SD,48923,,Trevor.Gutmann@yahoo.com,1009053814,9137764153,Rustic Fresh Mouse,2023-05-02,403.47
Gaylord,Aurelio,086 Kylee Bypass,Apt. 762,Vanceview,DE,06867,2570,Aurelio_Gaylord@gmail.com,,6245401394,Rustic Frozen Bike,2023-10-09,397.49
Hyatt,Bernhard,7260 Brakus Loop,Suite 493,Lake Unaburgh,TN,79753,,Bernhard_Hyatt@yahoo.com,0337200082,2543661129,Sleek Wooden Pizza,2022-09-28,258.23
Gutkowski,Bill,59646 Deon Villages,Suite 225,South Dollyfurt,NE,85256,,Bill.Gutkowski96@gmail.com,2655463791,3752503854,Rustic Wooden Computer,2022-09-18,292.39
Grady,Susie,9749 Weldon Forges,,Kertzmannshire,OK,03683,8407,Susie.Grady66@hotmail.com,7663572059,7603521873,Practical Soft Bacon,2023-01-19,439.51
McDermott,Hattie,328 Laurence Springs,,Torreymouth,MS,11438,1823,Hattie_McDermott66@yahoo.com,5557438742,1727521147,Refined Wooden Pizza,2022-12-25,18.94
Mills,Graham,497 Lauretta Lakes,,South Martin,FL,47599,5101,Graham.Mills@gmail.com,,2637967066,Unbranded Rubber Chips,2022-10-23,160.06
Bashirian,Dejon,6766 O'Kon Lane,Apt. 436,Patsyburgh,IN,01309,,Dejon_Bashirian18@yahoo.com,4247037977,8000101336,Fantastic Concrete Pizza,2023-03-13,262.39
Ratke,Reginald,212 Ferry Forks,Suite 720,Lindsayborough,NY,66075,7290,Reginald_Ratke98@hotmail.com,,9638478121,Refined Metal Fish,2022-12-12,248.44
Baumbach,Dylan,107 Gottlieb Brook,Suite 110,North Erikaborough,AL,52878,,Dylan34@hotmail.com,0223220274,3484437742,Handcrafted Granite Ball,2023-08-20,434.49
Dickinson,Ethyl,632 Raul Well,,Charlestown,MS,45271,4795,Ethyl.Dickinson@gmail.com,3650011294,4635193264,Ergonomic Metal Shoes,2024-03-09,217.04
Crist,Kody,319 Aleen Manors,,Mortonborough,DE,23548,4733,Kody47@yahoo.com,2810279076,3065655025,Gorgeous Cotton Car,2023-03-02,231.42
Hills,Manuel,52697 Rath Ways,,North Reyna,TN,32046,,Manuel_Hills@gmail.com,0349166242,6224223968,Small Soft Computer,2022-10-14,351.46
Anderson,Nia,964 Samanta Rapids,,West Jazmynview,KY,49725,,Nia_Anderson49@gmail.com,9604848136,5018872025,Refined Granite Soap,2024-02-03,191.62
Hackett,Summer,1447 Jarrell Way,,Ambrosemouth,NM,01636,7144,Summer.Hackett@gmail.com,4992926860,6000722555,Handmade Metal Gloves,2022-11-29,414.25
Hoppe,Emerald,76080 Angela Trail,,Stammton,MD,53589,,Emerald.Hoppe@hotmail.com,5521968552,1744878593,Sleek Soft Chips,2023-09-04,284.76
Wiza,Luisa,9261 Pfeffer Highway,,Lake Chelsie,TX,77436,1206,Luisa.Wiza31@hotmail.com,,7427936649,Practical Rubber Cheese,2023-11-08,233.04
Price,Tad,8700 Stevie Burgs,,North Georgetown,SD,37558,6331,Tad_Price@yahoo.com,9296934484,3939769325,Ergonomic Cotton Hat,2023-05-18,325.96
Price,Natalia,77753 Beatty Burg,,Gersonstad,DE,53644,4057,Natalia.Price48@yahoo.com,3511783255,6026996584,Gorgeous Wooden Mouse,2024-02-17,295.27
Hammes,Gretchen,673 Morissette Meadow,,East Denastad,CO,98178,0131,Gretchen11@gmail.com,,7900488277,Awesome Wooden Pizza,2024-05-16,21.32
Lockman,Lolita,4091 Schuppe Way,,Hoegerhaven,WV,06595,0309,Lolita.Lockman@yahoo.com,7290293139,5350043996,Generic Cotton Chicken,2023-03-02,227.12
Reichel,Pablo,677 Mante Drives,,Mayertchester,MO,57568,0922,Pablo_Reichel97@yahoo.com,,4456117851,Licensed Frozen Shoes,2023-10-30,145.04
McDermott,Lula,4396 Theodora Bypass,,Lenoreville,NJ,12142,5382,Lula_McDermott@gmail.com,2690775318,4081591094,Gorgeous Plastic Soap,2022-08-26,474.92
Buckridge,Annabell,42092 Rico Trace,,East Rogersbury,KS,73342,,Annabell.Buckridge@yahoo.com,7817193703,6004544489,Small Frozen Cheese,2024-01-05,61.50
Daniel,Ivory,75736 Evangeline Branch,Suite 023,Lednertown,AL,26488,3486,Ivory.Daniel57@gmail.com,5665464857,7443423179,Practical Rubber Chicken,2022-11-13,432.08
Volkman,Jeffry,71160 Ezekiel Points,,Keshawnville,NV,06666,0764,Jeffry64@gmail.com,2447915295,5765987519,Incredible Frozen Shirt,2023-09-03,474.67
Hickle,Ricky,52481 Reynolds Pines,Apt. 620,Delaneyburgh,NH,18272,,Ricky.Hickle@gmail.com,3560755921,1349819285,Rustic Frozen Gloves,2023-08-30,19.25
Cummings,Amina,5828 Flavio Route,,North Rubieville,VA,03453,,Amina.Cummings73@hotmail.com,2563122924,8231465594,Unbranded Frozen Bike,2022-12-26,326.45
Farrell,Alexie,90400 Stamm Lakes,Apt. 915,East Hunter,FL,43548,,Alexie90@hotmail.com,4048382482,1264262134,Generic Steel Pants,2023-12-30,90.76
Hermann,Velda,6370 Moore Manors,,Port Loyal,OH,79226,,Velda_Hermann82@yahoo.com,0518584740,8817961334,Refined Steel Keyboard,2022-07-09,245.53
Hills,Lucas,809 Gerlach Stream,,Margaretteshire,MS,76866,,Lucas_Hills42@gmail.com,5061990181,3411163282,Generic Soft Pizza,2023-06-14,468.77
